post_id,treatment,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28
vprors,1,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vprort,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vproru,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprorx,0,,,,1,1,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,,,
vpros2,1,,,,10,381,393,392,394,389,389,,,,,,,,,,,,,,,,,,,,
vprosa,0,,,,1,800,813,826,824,825,833,,,,,,,,,,,,,,,,,,,,
vprosb,1,,,,2,2,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,,,
vprose,0,,,,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
vprosi,1,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vprosl,0,,,,1,4,6,5,5,6,6,,,,,,,,,,,,,,,,,,,,
vprosn,1,,,,1,2,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,
vproso,1,,,,3,73,74,78,77,82,85,,,,,,,,,,,,,,,,,,,,
vprosq,0,,,,1,19,19,21,19,20,21,,,,,,,,,,,,,,,,,,,,
vprosx,0,,,,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
vprot3,0,,,,2,15,14,15,13,15,14,,,,,,,,,,,,,,,,,,,,
vprot8,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprotb,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprotc,1,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
